자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,(주)엑스포라인,통관 대리 및 관련서비스업 / 화물 운송 중개  대리,경기도,법인,36,11948760,3,2
2026-07,(주)엠앤에이치,배관 및 냉ㆍ난방 공사업,경기도,법인,44,10126220,2,0
2026-07,(주)헬스조선,광고 대행업,서울특별시,법인,54,17751200,3,3
2026-07,(주)포렌,산업용 냉장 및 냉동장비 제조업,전남광주통합특별시,법인,184,93427640,0,0
2026-07,재단법인환동해산업연구원,기타 인문 및 사회과학 연구개발업,경상북도,법인,30,12455720,2,0
2026-07,(주)엠디엠플러스,BIZ_NO미존재사업장,서울특별시,법인,67,37506480,2,1
2026-07,(주)유더블유에스,컴퓨터 및 주변장치  소프트웨어 도매업,서울특별시,법인,67,29826040,0,2
2026-07,홍익아동복지센터,BIZ_NO미존재사업장,제주특별자치도,법인,37,12106340,0,0
2026-07,(주) 연우피씨엔지니어링,기타 엔지니어링 서비스업,서울특별시,법인,47,18157680,1,1
2026-07,대양산업,산업용 냉장 및 냉동장비 제조업,경상남도,개인,41,12832360,0,1
2026-07,(주)케이이에스,기타 기술 시험  검사 및 분석업,경기도,법인,87,37194320,0,3
2026-07,(주)크리에이티브통,자연공원 운영업,제주특별자치도,법인,34,7724120,3,1
2026-07,동구노인복지관,BIZ_NO미존재사업장,울산광역시,법인,72,13607060,0,2
2026-07,(주)효진,해당없음,경기도,법인,150,52968260,3,5
2026-07,코리아엔텍(주),하수 처리업,전남광주통합특별시,법인,103,32221340,3,1
2026-07,레드햇리미티드(영업소),경영 컨설팅업,서울특별시,법인,165,101803620,8,1
2026-07,주식회사 삼영특수인쇄,스크린 인쇄업,경기도,법인,50,16985040,5,2
2026-07,주식회사아이스올리(ice olly）,기타 비알코올 음료 제조업,경상남도,법인,99,32414820,0,0
2026-07,의료법인동과의료재단 굿뉴스요양병원,요양병원,경상남도,법인,65,15134240,2,4
2026-07,（주）SRC,신선  냉동 및 기타 수산물 도매업,인천광역시,법인,64,23706880,0,4
2026-07,（주）태우그린푸드,기타 산업용 농산물 도매업,서울특별시,법인,88,30475940,1,2
2026-07,서귀포 운수주식회사,시내버스 운송업,제주특별자치도,법인,107,46734700,0,2
2026-07,서김해서비스기아오토큐,자동차 전문 수리업,경상남도,개인,30,11197020,0,1
2026-07,(주)티 제이 팜,의약품 도매업,경기도,법인,355,121405320,6,5
2026-07,안성시노인복지관,BIZ_NO미존재사업장,경기도,법인,39,11801100,0,1
2026-07,성공회 행복노인복지센터,BIZ_NO미존재사업장,전북특별자치도,법인,77,11438900,1,3
2026-07,(주)시몬느패션컴퍼니,상품 종합 도매업,서울특별시,법인,35,12258080,2,0
