업종,사업장수,월회전율중앙값,p25,p75,p90
경비 및 경호 서비스업,185,0.03891,0.01754,0.06265,0.09459
자연공원 운영업,12,0.03873,0.03035,0.06707,0.06828
한방병원,347,0.03846,0.01961,0.06522,0.09615
육류 도매업,35,0.03846,0.01471,0.05319,0.08333
두발 미용업,14,0.03828,0.02632,0.05625,0.07407
건축물 일반 청소업,417,0.03784,0.02041,0.06429,0.09722
화장품  비누 및 방향제 소매업,21,0.03759,0.01562,0.04851,0.0816
시계 및 귀금속 제품 도매업,17,0.0375,0.02179,0.07407,0.08571
육류 가공식품 도매업,71,0.03659,0.01493,0.05328,0.0922
수산식물 가공 및 저장 처리업,13,0.03659,0.02451,0.04808,0.08537
비알코올 음료 도매업,21,0.03659,0.02333,0.07812,0.0875
의복 액세서리 및 모조 장신구 도매업,22,0.03635,0.02222,0.07292,0.09091
기타 전기 변환장치 제조업,10,0.03624,0.01923,0.05797,0.09722
남녀용 겉옷 및 셔츠 도매업,112,0.03615,0.02174,0.06422,0.09091
건설장비 운영업,30,0.03615,0.01562,0.05085,0.07692
보링  그라우팅 및 관정 공사업,64,0.03604,0.01863,0.10163,0.2
직원 훈련기관,20,0.03596,0.02632,0.07576,0.16667
경영 컨설팅업,502,0.03571,0.01613,0.07353,0.11905
운동 및 경기용품 도매업,37,0.03571,0.02174,0.05556,0.07746
그 외 기타 생활용품 도매업,40,0.03552,0.02174,0.09375,0.12121
기타 사무 지원 서비스업,8,0.03552,0.03205,0.08571,0.4625
화장품 및 화장용품 도매업,168,0.03544,0.02381,0.05952,0.08065
아파트 건설업,194,0.0353,0.01724,0.07692,0.15789
기타 기술 및 직업 훈련학원,32,0.0353,0.01471,0.06429,0.06897
곡물 및 기타 식량작물 재배업,8,0.03516,0.01613,0.07303,0.09524
광고 대행업,341,0.03488,0.01961,0.05714,0.09
외국어학원,13,0.03448,0.01471,0.05,0.08108
자동차용 신품 의자 제조업,8,0.03438,0.0163,0.04514,0.04762
간이 음식 포장 판매 전문점,15,0.03409,0.0125,0.04545,0.10606
정형 외과용 및 신체 보정용 기기 제조업,13,0.0339,0.02273,0.05814,0.06061
셔츠 및 블라우스 소매업,34,0.03381,0.01639,0.05,0.08767
개인간병인,37,0.03358,0.02586,0.04936,0.075
종합병원,30,0.03354,0.0226,0.05556,0.09375
조경 건설업,26,0.03344,0.02394,0.06863,0.26316
화장품 제조업,183,0.03333,0.01562,0.05263,0.07895
화훼류 및 식물 도매업,9,0.03333,0.00714,0.05556,0.09783
신선  냉동 및 기타 수산물 도매업,39,0.03333,0.01351,0.06481,0.11207
수의업,103,0.03333,0.02273,0.05556,0.08696
반도체 제조용 기계 제조업,33,0.03333,0.01773,0.06667,0.15476
건물 및 토목 엔지니어링 서비스업,19,0.03333,0.01351,0.04839,0.1125
음악 및 기타 오디오물 출판업,13,0.03297,0.02564,0.06452,0.07895
그 외 기타 분류 안된 사업 지원 서비스업(기타임가공,79,0.03261,0.01136,0.07229,0.16026
청소년 수련시설 운영업,8,0.03251,0.01961,0.06122,0.06881
레크리에이션 교육기관,16,0.0325,0.02215,0.06061,0.07609
기타 산업용 기계 및 장비 임대업,9,0.03247,0.02857,0.05556,0.13636
사업시설 유지ㆍ관리 서비스업,130,0.03243,0.01603,0.06579,0.15714
의약품 및 의료용품 소매업,16,0.03229,0.02083,0.04839,0.15714
일반의원,1384,0.03226,0.01667,0.05263,0.08621
기타 대형 종합 소매업,11,0.03222,0.01613,0.07407,0.07843
기타 가공식품 도매업,62,0.03209,0.01681,0.0566,0.06884
철물  금속 파스너 및 수공구 도매업,24,0.03186,0.02326,0.05,0.09078
기타 전문 서비스업,32,0.03161,0.01087,0.06863,0.13514
기타 산업용 농산물 도매업,53,0.03125,0.01597,0.05,0.09091
통신기기 소매업,22,0.03125,0.01282,0.04286,0.07576
치과의원,173,0.03125,0.01515,0.05882,0.08824
과실류 도매업,23,0.03125,0.01477,0.06452,0.07246
식물성 유지 제조업,17,0.03125,0.02222,0.04286,0.06429
탭  밸브 및 유사 장치 제조업,17,0.03125,0.01667,0.08861,0.33673
콜센터 및 텔레마케팅 서비스업,21,0.03125,0.01632,0.06061,0.08484
컴퓨터 프로그래밍 서비스업,30,0.03113,0.02083,0.05789,0.09545
산업용 농ㆍ축산물  섬유 원료 및 동물 중개업,38,0.03113,0.01389,0.05882,0.07353
그 외 기타 정보 서비스업,10,0.03111,0.0098,0.05932,0.07955
기타 육상 운송지원 서비스업,22,0.03093,0.01,0.05556,0.06757
시스템 소프트웨어 개발 및 공급업,73,0.03077,0.01389,0.05,0.08333
서적  잡지 및 기타 인쇄물 도매업,35,0.0307,0.0119,0.0625,0.08065
장례식장 및 장의관련 서비스업,10,0.03046,0.01754,0.03617,0.11673
일반 교과학원 / 미술학원 / 기타 예술학원 / 외국어,19,0.03043,0.01389,0.05319,0.14062
일반 교과학원,124,0.0303,0.01389,0.04762,0.07447
시내버스 운송업 / 시외버스 운송업,121,0.0303,0.01613,0.075,0.09677
수산물 가공식품 도매업,59,0.0303,0.01471,0.0625,0.1
환경 관련 엔지니어링 서비스업,9,0.0303,0.02174,0.032,0.0814
채소류  서류 및 향신작물류 도매업,47,0.0303,0.01389,0.05128,0.07576
운동 및 경기용품 소매업,15,0.0303,0.02809,0.06568,0.07202
자동 판매기 운영업,8,0.0303,0.015,0.07292,0.45813
기타 수상 운송 지원 서비스업,22,0.03005,0.0122,0.08537,0.09649
두부 및 유사 식품 제조업,49,0.03,0.01429,0.05195,0.08108
김치류 제조업,57,0.03,0.01389,0.04167,0.05556
변호사업,144,0.02971,0.01471,0.04839,0.0641
한의원,54,0.02951,0.01471,0.05,0.08861
연사 및 가공사 제조업 / 특수직물 및 기타 직물 직조,23,0.02941,0.01042,0.05,0.07812
빵류  과자류  당류  초콜릿 도매업,39,0.02941,0.01429,0.05208,0.07576
냉장 및 냉동 창고업,45,0.02941,0.01562,0.04412,0.06667
조미료 도매업,23,0.02941,0.01376,0.075,0.11667
기타 운동 및 경기용구 제조업,11,0.02941,0.01216,0.05682,0.1
자동차용 신품 조향장치 및 현가장치 제조업,9,0.02941,0.00699,0.04255,0.05
일반 영화 및 비디오물 제작업,48,0.02914,0.01282,0.05405,0.25
건강 보조용 액화식품 제조업,34,0.0291,0.01316,0.0493,0.06452
기타 선박 건조업,14,0.02904,0.01724,0.03333,0.0411
복권 발행 및 판매업,9,0.02899,0.01945,0.03086,0.04965
그 외 기타 보건업,140,0.02895,0.01613,0.04331,0.06356
그 외 기타 분류 안된 사업 지원 서비스업,926,0.02892,0.01215,0.05952,0.0979
요양병원,1750,0.02885,0.01724,0.04487,0.06481
화물 포장  검수 및 계량 서비스업,49,0.02885,0.01351,0.06593,0.28388
기타자영업,27,0.02878,0.00968,0.04054,0.06452
그 외 기타 전자 부품 제조업,133,0.02878,0.01316,0.05947,0.08824
기타 운송장비 임대업,34,0.02859,0.0119,0.03731,0.06
주방용품 및 가정용 유리  요업제품 소매업,8,0.02859,0.01667,0.05882,0.07759
신발 도매업,15,0.02857,0.01667,0.05672,0.10825
포털 및 기타 인터넷 정보 매개 서비스업,25,0.02857,0.01613,0.04762,0.07692
기타 1차 비철금속 제조업,12,0.02852,0.00909,0.04167,0.06061
콘크리트 관 및 기타 구조용 콘크리트제품 제조업,24,0.02839,0.01149,0.08065,0.25
방사선 진단 및 병리 검사 의원,25,0.02839,0.0122,0.04412,0.06667
사업 및 무형 재산권 중개업,42,0.02833,0.01562,0.0473,0.08571
경영 컨설팅업(경영지도사),49,0.02817,0.01471,0.05102,0.08065
생활용 가구 도매업,32,0.02815,0.01818,0.05714,0.07353
기타 음ㆍ식료품 위주 종합 소매업,96,0.0278,0.01163,0.04902,0.0913
매니저업,56,0.02779,0.01456,0.05,0.08182
음ㆍ식료품 및 담배 중개업,24,0.02779,0.0122,0.05405,0.06944
곡물 및 유지작물 도매업,45,0.02778,0.01224,0.04839,0.09211
전기ㆍ전자공학 연구개발업,20,0.02763,0.02113,0.04412,0.06667
당구장 운영업,10,0.02761,0.01786,0.03896,0.1
가전제품 및 부품 도매업,76,0.02753,0.01429,0.05714,0.08333
문구용품  회화용품  사무용품 도매업,20,0.0274,0.01942,0.05769,0.12759
건축 설계 및 관련 서비스업(건축사),54,0.02721,0.01471,0.03846,0.06061
전구  램프 및 조명장치 도매업,8,0.02721,0.01613,0.03659,0.09459
임업용 종묘 생산업,11,0.02703,0.01163,0.03333,0.03947
