업종,사업장수,월회전율중앙값,p25,p75,p90
금속류 원료 재생업,28,0.01674,0.0082,0.04545,0.1
축전지 제조업,80,0.01671,0.00636,0.03488,0.05469
컴퓨터 및 주변장치  소프트웨어 도매업,246,0.01667,0.00893,0.03261,0.05405
절연 코드세트 및 기타 도체 제조업,17,0.01667,0.00926,0.02857,0.04545
스키장 운영업,9,0.01667,0.01149,0.05319,0.06667
암면 및 유사 제품 제조업,23,0.01667,0.0,0.03279,0.04854
그 외 기타 분류 안된 화학제품 제조업,19,0.01667,0.00446,0.03125,0.05056
그 외 기타 고무제품 제조업,25,0.01667,0.0,0.02941,0.05172
절삭 가공 및 유사 처리업,154,0.01667,0.00769,0.03676,0.0625
유선 통신장비 제조업,250,0.01665,0.00806,0.02857,0.05
농업 및 임업용 기계 제조업,42,0.01658,0.00102,0.03307,0.04962
의약품 도매업,134,0.0164,0.01087,0.0303,0.04412
금속선 가공제품 제조업,134,0.0164,0.00746,0.03125,0.04717
자동차 종합 수리업,34,0.0164,0.0,0.04412,0.09677
번역 및 통역 서비스업,31,0.01639,0.00971,0.0303,0.04688
사무 및 회화용품 제조업,37,0.01639,0.00394,0.03205,0.04545
기타,57,0.01634,0.01087,0.02747,0.04545
일반 화물 자동차 운송업,74,0.01628,0.00588,0.03571,0.06164
기타 절연선 및 케이블 제조업,58,0.01626,0.00839,0.02744,0.04286
비금속류 원료 재생업,24,0.01626,0.01042,0.03425,0.04412
기타 식품 첨가물 제조업,31,0.01613,0.00455,0.02381,0.0303
천연 및 혼합 조제 조미료 제조업,69,0.01613,0.01111,0.0303,0.05488
의료용 기구 소매업,11,0.01613,0.00685,0.03125,0.04955
물질 성분 검사 및 분석업,8,0.01604,0.00893,0.04054,0.05224
의료용품 도매업,40,0.01603,0.00843,0.03704,0.05
그 외 기타 금융 지원 서비스업,88,0.016,0.00769,0.03333,0.05556
물질 검사  측정 및 분석 기구 제조업,189,0.016,0.00794,0.02917,0.06061
비디오 및 기타 영상 기기 제조업,63,0.016,0.0074,0.03333,0.05714
기타 도시 정기 육상 여객 운송업,14,0.01596,0.0,0.0303,0.11538
기타 비알코올 음료 제조업,32,0.01596,0.00901,0.04259,0.06316
공작용 기계 및 장비 도매업,9,0.01596,0.00962,0.02542,0.05
기타모집수당 채권회수수당,10,0.01595,0.01079,0.02381,0.03913
직물  편조 원단 및 의복류 염색 가공업,59,0.01592,0.0121,0.03289,0.05405
핵반응기 및 증기보일러 제조업,20,0.01588,0.00938,0.03226,0.05455
곡물 제분업,19,0.01587,0.00687,0.0303,0.06452
통관 대리 및 관련서비스업,25,0.01587,0.01064,0.03333,0.06667
가정용 유리제품 제조업,54,0.0158,0.0049,0.02632,0.04286
한의약품 제조업,24,0.01575,0.0119,0.02941,0.06667
그 외 자동차용 신품 부품 제조업,1506,0.01571,0.00714,0.03226,0.05405
부직포 및 펠트 제조업,24,0.01564,0.01064,0.02941,0.06481
라이터  연소물 및 흡연용품 제조업,14,0.01564,0.00702,0.05738,0.1
해당없음,1651,0.01562,0.00476,0.03125,0.05263
금속 절삭기계 제조업,148,0.01562,0.00625,0.03333,0.05634
항공 및 육상 화물 취급업,42,0.01562,0.01042,0.0303,0.06061
기어 및 동력전달장치 제조업,42,0.01562,0.01014,0.02941,0.05
체조  육상 및 체력 단련용 장비 제조업,21,0.01562,0.00617,0.02586,0.04412
타일 및 유사 비내화 요업제품 제조업,17,0.01562,0.00833,0.02727,0.05714
자동차 신품 타이어 및 튜브 판매업,13,0.01562,0.00943,0.0375,0.0566
제철업,21,0.01558,0.01042,0.03107,0.06731
기타 물품 취급장비 제조업,90,0.01557,0.00781,0.03409,0.07353
기타 기초 무기화학 물질 제조업,86,0.0155,0.00794,0.02941,0.05
체인화 편의점,20,0.01547,0.00952,0.03125,0.06579
실내 경기장 운영업,10,0.01542,0.00937,0.02273,0.03744
기타 직물제품 제조업,15,0.01538,0.00515,0.03846,0.05405
골판지 제조업,97,0.01538,0.00581,0.02941,0.04545
기타 무선 통신장비 제조업,9,0.01537,0.0099,0.02011,0.08333
플라스틱 합성피혁 제조업,70,0.01533,0.00725,0.02727,0.04839
침구 및 관련제품 제조업,35,0.01515,0.00556,0.03968,0.0679
편조 원단 제조업,10,0.01515,0.0102,0.03409,0.1
위생용 종이제품 제조업,60,0.01508,0.00877,0.02439,0.04545
방직용 섬유 및 실 도매업,8,0.01507,0.01351,0.02119,0.04337
도시철도 운송업,13,0.01501,0.00752,0.02468,0.02849
주철관 제조업,22,0.01496,0.00649,0.02151,0.06579
의약용 화합물 및 항생물질 제조업,10,0.01493,0.01389,0.03378,0.04878
잡지 및 정기 간행물 발행업,109,0.01493,0.00633,0.0266,0.05357
가정용 세탁업,12,0.01491,0.01136,0.03333,0.03846
지정 외 폐기물 수집  운반업,240,0.01471,0.0,0.02857,0.04054
기타 금융 투자업,222,0.01471,0.00418,0.02888,0.04762
도장 및 기타 피막 처리업,135,0.01471,0.0,0.03226,0.05479
생활용 포장 및 위생용품  봉투 및 유사 제품 도매업,29,0.01471,0.0,0.02727,0.0543
방송 프로그램 제작업,71,0.01471,0.00926,0.04286,0.06757
비누 및 세정제 도매업,9,0.01471,0.00667,0.02511,0.05263
세무사업(기장대리) / 기타 회계 관련 서비스업,9,0.01471,0.01429,0.03226,0.05556
운송장비 조립용 플라스틱제품 제조업,9,0.01471,0.00259,0.02941,0.1087
연성 및 기타 인쇄회로기판 제조업,8,0.01469,0.00781,0.02381,0.07955
비주거용 건물 임대업(점포  자기땅),1405,0.01461,0.00125,0.03333,0.07576
가정용 및 장식용 도자기 제조업,14,0.01452,0.00858,0.02439,0.03472
기타 섬유  의복 및 가죽 가공기계 제조업,14,0.0145,0.00685,0.02,0.025
건설 및 채광용 기계장비 제조업,36,0.0144,0.00407,0.0303,0.04651
기타 화학 물질 및 화학제품 도매업,53,0.01439,0.00866,0.02632,0.04412
옥외 및 전시 광고업,12,0.0143,0.00602,0.04762,0.06818
동력식 수지 공구 제조업,91,0.01429,0.0,0.03125,0.05405
유압 기기 제조업,153,0.01429,0.00581,0.0303,0.05208
트레일러 및 세미 트레일러 제조업,29,0.01429,0.0,0.025,0.04255
곡물  곡분 및 가축 사료 소매업,19,0.01429,0.00229,0.03774,0.07812
목재 도구 및 주방용 나무제품 제조업,13,0.01429,0.0,0.02239,0.04839
산업용 가스 제조업,14,0.01415,0.00643,0.02799,0.05435
건물 및 토목 엔지니어링 서비스업(기술사),22,0.01415,0.0,0.02564,0.03571
전기용 기계ㆍ장비 및 관련 기자재 도매업,193,0.01408,0.00249,0.02857,0.04902
산업용 오븐  노 및 노용 버너 제조업,16,0.01393,0.00735,0.03571,0.03922
배합 사료 제조업,55,0.01389,0.00575,0.02703,0.04054
제조 / 산업용강화플라스틱성형제품,47,0.01389,0.00714,0.03125,0.04444
하수 처리업,53,0.01389,0.0,0.02564,0.04167
벽지 및 장판지 제조업,8,0.01375,0.00877,0.02308,0.0625
지주회사,10,0.01371,0.0036,0.02564,0.07738
그 외 기타 여신 금융업,62,0.0137,0.0,0.02206,0.03333
지정 외 폐기물 처리업,20,0.0137,0.01087,0.03,0.03571
운송장비용 조명장치 제조업,90,0.01361,0.00649,0.0241,0.05118
접착제 및 젤라틴 제조업,156,0.01361,0.00556,0.02717,0.03977
시내버스 운송업,285,0.01357,0.00739,0.02542,0.05093
내연기관 제조업,32,0.01355,0.00255,0.03226,0.05063
손해보험업,25,0.01355,0.00938,0.02408,0.03182
골재  벽돌 및 시멘트 도매업,9,0.01351,0.0,0.03774,0.1
폴리스티렌 발포 성형제품 제조업,38,0.01351,0.00721,0.01911,0.03247
기타 종이 및 판지 제조업,13,0.01351,0.00459,0.03846,0.04918
유인 항공기  항공 우주선 및 보조장치 제조업,10,0.01341,0.00311,0.0233,0.09167
변리사업,65,0.01337,0.0,0.02439,0.03922
그 외 기타 분류 안된 운송관련 서비스업,18,0.01334,0.00355,0.03174,0.05
산업용 그 외 비경화 고무제품 제조업,45,0.01325,0.0061,0.01724,0.02857
강선 건조업,34,0.01322,0.00725,0.025,0.06
기타 인쇄관련 산업,20,0.01319,0.0,0.02809,0.04054
금속 단조제품 제조업,23,0.01316,0.00413,0.0266,0.02885
서적외판원 학습지방문판매원 화장품외판원 정수기 자,12,0.01312,0.00712,0.02597,0.04065
합성수지 및 기타 플라스틱 물질 제조업,168,0.01307,0.00427,0.02419,0.04688
기타 부동산 임대업,52,0.01304,0.00243,0.03061,0.05147
자동차 중고 부품 및 내장품 판매업,29,0.01299,0.00847,0.02941,0.05
복합비료 및 기타 화학비료 제조업,21,0.01282,0.00349,0.01724,0.02703
제조 / 기타가정용기기,25,0.01282,0.00688,0.01695,0.05128
양계업,17,0.01282,0.0098,0.02632,0.04545
콘테이너임대,8,0.01266,0.00909,0.02551,0.05208
기타 비철금속 제련  정련 및 합금 제조업,45,0.01266,0.00368,0.02632,0.04167
화물 자동차 및 특수 목적용 자동차 제조업,50,0.01251,0.00296,0.02792,0.04688
콘크리트 타일  기와  벽돌 및 블록 제조업,23,0.0125,0.0,0.02564,0.05085
무선 및 위성 통신업,21,0.0125,0.00745,0.02941,0.09394
전자 감지장치 제조업,8,0.01244,0.01,0.02222,0.04545
화학섬유 방적업,14,0.01239,0.00649,0.02703,0.03333
그 외 기타 전기 통신업,8,0.01237,0.00767,0.02586,0.05526
단추 및 유사 파스너 제조업,8,0.01232,0.0,0.01724,0.03333
사무용 기계 및 장비 제조업,25,0.01224,0.00692,0.02113,0.02778
여객 자동차 터미널 운영업,8,0.0122,0.008,0.01515,0.01833
적층  합성 및 특수 표면처리 종이 제조업,39,0.0122,0.005,0.02083,0.04196
합성섬유 제조업,21,0.0122,0.00613,0.01829,0.05674
태양력 발전업,63,0.01215,0.0061,0.03061,0.03846
제강업,38,0.01213,0.00704,0.02353,0.04286
석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,137,0.0121,0.00579,0.02381,0.03629
판유리 제조업,11,0.01208,0.00292,0.0186,0.03409
기타 주변 기기 제조업,16,0.01206,0.00658,0.02088,0.05
톱 및 호환성 공구 제조업,51,0.0119,0.0,0.03125,0.05263
사료 도매업,16,0.01186,0.00833,0.04688,0.06944
플라스틱 창호 제조업,84,0.01177,0.0,0.02586,0.05952
원유 정제처리업,15,0.01176,0.00402,0.04754,0.11702
그 외 기타 스포츠 서비스업,16,0.0115,0.00962,0.04054,0.05108
탁주 및 약주 제조업,10,0.01139,0.0,0.01667,0.06452
철도 차량 부품 및 관련 장치물 제조업,23,0.01111,0.0,0.03125,0.04545
알루미늄 압연  압출 및 연신제품 제조업,83,0.01101,0.00306,0.03061,0.04945
신용조합,273,0.01099,0.0,0.02041,0.03846
합성고무 제조업,20,0.01096,0.00595,0.03409,0.09434
부동산 감정 평가업,27,0.01095,0.00362,0.02857,0.05
선철 주물 주조업,28,0.01087,0.00758,0.04,0.05
정형 내화 요업제품 제조업,24,0.01076,0.0,0.01578,0.04188
그 외 기타 1차 철강 제조업,168,0.01075,0.00236,0.02459,0.03947
항공 여객 운송업,26,0.01065,0.0,0.02358,0.05556
수상 화물 취급업,38,0.01064,0.00491,0.023,0.03488
레미콘 제조업,39,0.01064,0.0,0.01515,0.02174
지상파 방송업,36,0.01042,0.00581,0.01961,0.03614
국내은행,627,0.01042,0.0,0.02174,0.03731
제책업,9,0.01042,0.00714,0.01613,0.04167
문구용 종이제품 제조업,10,0.0104,0.00455,0.01282,0.14474
강 주물 주조업,21,0.0102,0.00588,0.01804,0.02326
기체 연료 및 관련제품 도매업,13,0.01,0.0,0.01429,0.025
타이어 및 튜브 제조업,25,0.00971,0.0051,0.01235,0.02874
윤활유 및 그리스 제조업,15,0.00909,0.0,0.01754,0.03333
일반용 도료 및 관련제품 제조업,53,0.00885,0.00287,0.02083,0.03571
생명보험업,27,0.00881,0.00536,0.01573,0.02139
유선 방송업,36,0.00875,0.0,0.01613,0.02326
비주거용 건물 임대업(점포  타인땅),29,0.00752,0.0,0.02273,0.04054
공영 우편업,9,0.00704,0.0,0.02381,0.03226
연료용 가스 제조 및 배관공급업,56,0.00668,0.00181,0.01224,0.02703
무기 및 총포탄 제조업,8,0.00667,0.0,0.01414,0.01613
증기  냉ㆍ온수 및 공기 조절 공급업,13,0.00595,0.0,0.00885,0.01887
시멘트 제조업,17,0.0051,0.00167,0.0098,0.02564
인쇄 잉크 및 회화용 물감 제조업,12,0.00409,0.0,0.02024,0.02128
