자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,주식회사 비케이알,치킨 전문점,서울특별시,법인,1041,394340200,14,35
2026-07,(주)큐로에프엔비,상품 종합 도매업,서울특별시,법인,34,8405700,0,0
2026-07,고촌고등학교,BIZ_NO미존재사업장,경기도,법인,30,9369000,0,0
2026-07,(주)명신,그 외 자동차용 신품 부품 제조업,경상북도,법인,39,13376640,0,1
2026-07,강동성심병원(총무과),요양병원,서울특별시,법인,1299,640293300,18,17
2026-07,(주)뉴인텍,자동차용 신품 전기장치 제조업,전북특별자치도,법인,104,40188340,9,6
2026-07,율요양원,BIZ_NO미존재사업장,대전광역시,개인,42,9159700,2,8
2026-07,국립임실호국원,비주거용 건물 임대업(점포  자기땅),전북특별자치도,법인,34,9584180,0,0
2026-07,서울강빛초등학교,BIZ_NO미존재사업장,서울특별시,법인,42,11903580,1,0
2026-07,울산광역시립노인병원,BIZ_NO미존재사업장,울산광역시,법인,49,13545620,3,0
2026-07,써브라임주식회사,연예보조서비스,서울특별시,법인,30,11357660,3,1
2026-07,재단법인안산문화재단,비주거용 건물 임대업(점포  자기땅),경기도,법인,120,37648180,3,3
2026-07,한국알프스물류(주)오산영업소,상품 종합 도매업,경기도,법인,42,12883120,1,1
2026-07,사랑요양병원,요양병원,경기도,개인,42,12245900,6,3
2026-07,（주）세진프리시젼,기타 반도체 소자 제조업,경기도,법인,34,14334740,1,0
2026-07,성진영농조합법인,채소류  서류 및 향신작물류 도매업,경상북도,법인,54,19312600,0,6
2026-07,(주)메타텍,기타 물품 취급장비 제조업,충청남도,법인,32,15827780,1,1
2026-07,(주)루켄테크놀러지스,산업용 로봇 제조업,경기도,법인,90,32055800,3,2
2026-07,(사)한국산업기술보호협회,그 외 기타 분류 안된 전문  과학 및 기술 서비스업,서울특별시,법인,32,12139840,0,0
2026-07,주식회사 엘오에이,전자상거래 소매업,서울특별시,법인,59,13943240,1,8
