업종,사업장수,월회전율중앙값
시스템 소프트웨어 개발 및 공급업,73,0.03077
서적  잡지 및 기타 인쇄물 도매업,35,0.0307
장례식장 및 장의관련 서비스업,10,0.03046
일반 교과학원 / 미술학원 / 기타 예술학원 / 외국어,19,0.03043
일반 교과학원,124,0.0303
시내버스 운송업 / 시외버스 운송업,121,0.0303
수산물 가공식품 도매업,59,0.0303
환경 관련 엔지니어링 서비스업,9,0.0303
채소류  서류 및 향신작물류 도매업,47,0.0303
운동 및 경기용품 소매업,15,0.0303
자동 판매기 운영업,8,0.0303
기타 수상 운송 지원 서비스업,22,0.03005
두부 및 유사 식품 제조업,49,0.03
김치류 제조업,57,0.03
변호사업,144,0.02971
한의원,54,0.02951
연사 및 가공사 제조업 / 특수직물 및 기타 직물 직조,23,0.02941
빵류  과자류  당류  초콜릿 도매업,39,0.02941
냉장 및 냉동 창고업,45,0.02941
조미료 도매업,23,0.02941
기타 운동 및 경기용구 제조업,11,0.02941
자동차용 신품 조향장치 및 현가장치 제조업,9,0.02941
일반 영화 및 비디오물 제작업,48,0.02914
건강 보조용 액화식품 제조업,34,0.0291
기타 선박 건조업,14,0.02904
복권 발행 및 판매업,9,0.02899
그 외 기타 보건업,140,0.02895
그 외 기타 분류 안된 사업 지원 서비스업,926,0.02892
요양병원,1750,0.02885
화물 포장  검수 및 계량 서비스업,49,0.02885
기타자영업,27,0.02878
그 외 기타 전자 부품 제조업,133,0.02878
기타 운송장비 임대업,34,0.02859
주방용품 및 가정용 유리  요업제품 소매업,8,0.02859
신발 도매업,15,0.02857
포털 및 기타 인터넷 정보 매개 서비스업,25,0.02857
기타 1차 비철금속 제조업,12,0.02852
콘크리트 관 및 기타 구조용 콘크리트제품 제조업,24,0.02839
방사선 진단 및 병리 검사 의원,25,0.02839
사업 및 무형 재산권 중개업,42,0.02833
경영 컨설팅업(경영지도사),49,0.02817
생활용 가구 도매업,32,0.02815
기타 음ㆍ식료품 위주 종합 소매업,96,0.0278
매니저업,56,0.02779
음ㆍ식료품 및 담배 중개업,24,0.02779
곡물 및 유지작물 도매업,45,0.02778
전기ㆍ전자공학 연구개발업,20,0.02763
당구장 운영업,10,0.02761
가전제품 및 부품 도매업,76,0.02753
문구용품  회화용품  사무용품 도매업,20,0.0274
건축 설계 및 관련 서비스업(건축사),54,0.02721
전구  램프 및 조명장치 도매업,8,0.02721
임업용 종묘 생산업,11,0.02703
비주거용 건물 임대업,29,0.02703
자수제품 및 자수용 재료 제조업,11,0.02703
개인 간병 및 유사 서비스업,21,0.02703
비금속광물 분쇄물 생산업,29,0.02679
데이터베이스 및 온라인 정보 제공업,284,0.02675
섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,92,0.02669
시설물 유지관리 공사업,84,0.0264
셔츠 및 블라우스 제조업,11,0.02632
가금류 가공 및 저장 처리업,101,0.02632
건어물 및 젓갈류 도매업,18,0.02601
문서 작성업,89,0.02586
모피 및 가죽 제조업,9,0.02586
기타 인문 및 사회과학 연구개발업,512,0.02575
가죽의복 제조업,185,0.02568
인형 및 장난감 제조업,17,0.02564
가구 소매업,9,0.02564
그 외 기타 분류 안된 금융업,26,0.02561
광고물 문안  도안  설계 등 작성업,8,0.02557
귀금속 및 관련제품 제조업,10,0.02551
기타 건축용 나무제품 제조업,32,0.02545
그 외 기타 금속 가공업,40,0.02521
비메모리용 및 기타 전자집적회로 제조업,8,0.02508
면류  마카로니 및 유사 식품 제조업,39,0.025
알루미늄 주물 주조업,27,0.025
그 외 기타 분류 안된 상품 전문 소매업,25,0.025
기타 게임 소프트웨어 개발 및 공급업,13,0.025
주차장 운영업,36,0.02487
