자료생성년월,사업장명,업종,시도,사업장형태,적용일자,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,법무법인민주,변호사업,서울특별시,법인,2004-04-01,82,32462280,1,0
2026-07,대원정밀공업(주),그 외 자동차용 신품 부품 제조업,경기도,법인,1988-01-01,291,153308960,2,0
2026-07,한국철도공사,도시철도 운송업,대전광역시,법인,1997-01-01,26485,12396499820,631,226
2026-07,（주）호창MF,윤활유 및 그리스 제조업,부산광역시,법인,2009-07-01,42,13359980,6,0
2026-07,(주)볼빅,체조  육상 및 체력 단련용 장비 제조업,충청북도,법인,2008-12-01,109,41417680,4,0
2026-07,주식회사 상일이앤피,생활용 포장 및 위생용품  봉투 및 유사 제품 도매업,경기도,법인,2003-02-01,32,10843320,0,0
2026-07,（주）대양건설/일용/성남산성구역주택재개발정비사업 아파트신축공사,콘크리트 및 철근 공사업,경기도,법인,2024-12-09,42,19461880,0,7
2026-07,(주)로운로지스,용달 화물 자동차 운송업,경기도,법인,2021-07-12,35,10999020,3,4
2026-07,태광정밀공업사,기타 반도체 소자 제조업,경기도,개인,2001-08-01,57,19187600,1,0
2026-07,에이치엘만도 주식회사,BIZ_NO미존재사업장,경기도,법인,2014-09-01,3625,2187004580,32,19
2026-07,에이치알이 주식회사,태양력 발전업,서울특별시,법인,2009-04-15,37,19777380,2,1
2026-07,동림건설,아파트 건설업,서울특별시,법인,2018-08-01,56,28548100,0,2
2026-07,주식회사 에코아이디,플라스틱 합성피혁 제조업,경기도,법인,2010-08-17,31,12665700,2,1
2026-07,주식회사 비전파트너스,컴퓨터 시스템 통합 자문 및 구축 서비스업,전남광주통합특별시,법인,2024-03-08,63,13212300,0,5
2026-07,씨제이올리브영주식회사-비정규,화장품 및 화장용품 도매업,서울특별시,법인,2019-11-01,9152,1086662320,907,1292
2026-07,대성에너지(주),연료용 가스 제조 및 배관공급업,대구광역시,법인,2009-10-01,371,215956220,0,2
2026-07,주식회사 에이치이엔씨-(일용)부산에코델타시티공동4블럭중흥S-클래스공동주택신축공사중골조공사,콘크리트 및 철근 공사업,부산광역시,법인,2025-07-23,115,40392520,22,5
2026-07,(주)에스앤아이코퍼레이션,사업시설 유지ㆍ관리 서비스업,서울특별시,법인,2021-10-01,2013,854096080,50,19
2026-07,(주)두잉피플플러스,비주거용 부동산 관리업,경기도,법인,1998-09-09,1557,386287480,52,215
2026-07,대일씨에프,가금류 가공 및 저장 처리업 / 육류 포장육 및 냉동육,경상남도,개인,2017-03-01,52,12589100,21,21
2026-07,승문기업(주),지정 외 폐기물 수집  운반업,경기도,법인,1994-02-17,43,22447600,0,1
2026-07,현대오토에버(주),응용 소프트웨어 개발 및 공급업,서울특별시,법인,2000-08-21,5809,3557851580,11,12
2026-07,밴스의원 제주,일반의원,제주특별자치도,개인,2025-03-17,45,16274040,9,23
2026-07,(주)경수제철건설/일용/대구롯데쇼핑타운개발계획 신축공사 중 지상층 철골공사,육상 금속 골조 구조재 제조업,대구광역시,법인,2025-10-28,31,16338800,7,0
2026-07,광주새우리병원,요양병원,전남광주통합특별시,개인,2005-02-01,119,38965080,3,6
2026-07,(주)화인알텍,기타 반도체 소자 제조업,경상북도,법인,2000-08-01,199,73902240,0,13
2026-07,（주）바이와이제이,전자상거래 소매업,서울특별시,법인,2009-04-01,95,36150900,9,5
2026-07,주식회사큐텍이씨에스-(일용)국도77호선 여수 화태-백야 도로건설공사(2공구)중 해상교량 구,콘크리트 및 철근 공사업,전남광주통합특별시,법인,2023-05-29,56,20443100,1,1
2026-07,대명지이씨(주)/일용/P4 Ph4(상동) 마감공사 중 Ph4 일반전기공사 3공구,일반 전기 공사업,경기도,법인,2025-10-01,405,175926280,81,2
2026-07,해태가루비(주) 제2공장,제조 / 코코아제품및설탕과자,강원특별자치도,법인,2016-05-01,60,24043300,0,1
2026-07,(주)엘라스텍,그 외 자동차용 신품 부품 제조업,경상북도,법인,2011-05-01,57,16422640,3,2
2026-07,(주)명가종합관리,건축물 일반 청소업,부산광역시,법인,2000-11-01,41,8786180,5,5
2026-07,서울봄연합의원,일반의원,서울특별시,개인,2019-09-23,39,12027700,1,1
2026-07,동명농업협동조합,신용조합,경상북도,법인,1988-01-01,31,14786700,0,0
2026-07,(주)메덱셀,전기식 진단 및 요법 기기 제조업,경기도,법인,2000-08-29,43,13539960,0,0
2026-07,태광후지킨 주식회사,장난감 및 취미  오락용품 도매업,부산광역시,법인,2007-07-02,1411,618599020,124,23
2026-07,넥센타이어(주)창녕공장,타이어 및 튜브 제조업,경상남도,법인,2012-01-01,1241,677849940,15,129
2026-07,동아회원거래소(주),사업 및 무형 재산권 중개업,서울특별시,법인,2002-12-01,57,22955780,1,0
2026-07,한국다우케미칼실리콘주식회사,합성수지 및 기타 플라스틱 물질 제조업,서울특별시,법인,2019-02-01,216,126007360,0,9
2026-07,유한회사이엔씨정우,선박 구성 부분품 제조업,전남광주통합특별시,법인,2021-03-05,90,26232340,1,0
2026-07,(주)장보고식자재마트(고객배송센터),슈퍼마켓,대구광역시,법인,2015-10-01,57,17615240,0,0
2026-07,（주）에코그린티엠,건축물 일반 청소업,서울특별시,법인,2010-07-01,87,15720160,10,3
2026-07,삼호개발（주）-(일용)동북선 도시철도 민간투자사업 토공 및 철근콘크리트공사,미장  타일 및 방수 공사업,서울특별시,법인,2021-01-25,146,36572600,3,16
2026-07,화순농업협동조합,국내은행,전남광주통합특별시,법인,1988-01-01,111,46346600,1,1
2026-07,케이지모빌리티 주식회사,화물 자동차 및 특수 목적용 자동차 제조업,경기도,법인,1988-02-27,3807,2324014620,1,20
2026-07,본푸드서비스 주식회사,기관 구내식당업,서울특별시,법인,1994-07-04,1184,312068320,74,67
2026-07,제주느영나영시니어클럽,해당없음,제주특별자치도,법인,2026-04-01,42,7792520,17,0
2026-07,(주)문수이엔지,그 외 기타 분류 안된 전문  과학 및 기술 서비스업,경기도,법인,2023-11-16,43,12383480,1,2
2026-07,봉화군립노인전문요양병원,해당없음,경상북도,법인,2009-01-01,41,12612280,2,1
2026-07,롯데쇼핑(주),백화점,서울특별시,법인,1988-01-01,4620,2065473000,160,217
2026-07,주식회사호연기업,그 외 기타 분류 안된 사업 지원 서비스업,경상남도,법인,2022-10-07,35,10613740,3,0
2026-07,월급쟁이부자들(주),기타 기술 및 직업 훈련학원,서울특별시,법인,2018-05-01,70,30593260,2,7
2026-07,주식회사 빅바이트컴퍼니,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,경기도,법인,2023-12-01,833,175792520,104,103
2026-07,주식회사이폴리움,상품 종합 도매업,서울특별시,법인,2007-08-01,51,19166460,0,3
2026-07,2026년 경기남부 무선망 시설공사 총액계약_명신,배관 및 냉ㆍ난방 공사업,경기도,법인,2014-03-01,39,10667300,0,1
2026-07,삼호개발(주)/일용/용인집단에너지사업 Project 중 토목공사 PKG B,토공사업,경기도,법인,2026-02-23,35,12722240,10,0
2026-07,에스지피엠피 주식회사,사업시설 유지ㆍ관리 서비스업,경기도,법인,2024-02-01,38,9629100,1,0
2026-07,씨에스알와인 주식회사,주류 도매업,서울특별시,법인,2007-10-01,52,20103460,0,1
2026-07,한국에코산업주식회사,금속류 원료 재생업,경기도,법인,2006-01-01,37,14714600,5,5
2026-07,에스엘라이프주식회사,전자상거래 소매업,서울특별시,법인,2003-06-25,56,18237260,3,1
2026-07,창민의료재단의료법인,요양병원,충청북도,법인,1988-08-26,116,36043640,2,1
2026-07,주식회사 포에이스,그 외 기타 1차 철강 제조업,전남광주통합특별시,법인,1991-09-04,146,77731200,0,8
2026-07,(주)에스씨케이컴퍼니,커피 및 차류 도매업,서울특별시,법인,1997-12-01,22758,5431025060,577,790
2026-07,서울아로한방병원,요양병원,서울특별시,개인,2020-05-04,33,12298960,7,6
2026-07,주식회사 이스턴산업,기타 직물제품 제조업,서울특별시,법인,2011-12-15,31,11273380,0,0
2026-07,동대문구청,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,1995-01-01,208,57177300,0,11
2026-07,(주)티니위니코리아,시각 디자인업,서울특별시,법인,2018-10-01,83,35321840,3,2
2026-07,주식회사 유원지리정보시스템,측량업,경기도,법인,2008-01-01,94,33139460,6,1
2026-07,선산복지재단 성부정신수양원,BIZ_NO미존재사업장,대구광역시,법인,1988-01-01,30,14237440,0,0
2026-07,유니텔전자(주),전기용 기계ㆍ장비 및 관련 기자재 도매업,서울특별시,법인,1999-11-01,37,17962960,0,0
2026-07,(주)마뗑킴,전자상거래 소매업,경기도,법인,2018-11-01,66,27541340,6,4
2026-07,주식회사 지금융코리아,보험 대리 및 중개업,서울특별시,법인,2020-06-23,173,47686860,12,4
2026-07,주식회사 엔씨,응용 소프트웨어 개발 및 공급업,경기도,법인,1997-04-01,3439,1996358020,56,34
2026-07,월드퀀트리서치사우스코리아엘엘씨 한국지점,시장 조사 및 여론 조사업,서울특별시,법인,2015-09-01,34,21285360,0,1
2026-07,(주)한국마이콤,산업용 냉장 및 냉동장비 제조업,서울특별시,법인,1988-01-01,153,68729620,0,3
2026-07,성문회계법인,BIZ_NO미존재사업장,대구광역시,법인,2015-07-01,40,13327060,0,1
2026-07,대한지방행정공제회,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,1988-01-01,175,104662640,0,1
2026-07,(주)서경,육류 도매업,경기도,법인,2016-06-11,47,15112240,4,1
2026-07,페이레터(주),통신 재판매업,서울특별시,법인,2001-01-29,123,53270360,0,0
2026-07,노화농업협동조합,기타 금융 투자업,전남광주통합특별시,법인,1988-01-01,56,21969720,0,0
2026-07,에스케이바이오사이언스(주),BIZ_NO미존재사업장,인천광역시,법인,2018-07-01,570,300317560,15,13
2026-07,이현어패럴(주),해당없음,서울특별시,법인,1999-04-10,60,19223140,0,11
2026-07,주식회사 현대케피코,그 외 자동차용 신품 부품 제조업,경기도,법인,1988-01-01,1726,1078448860,4,7
2026-07,씨티재활의학과요양병원,요양병원,전남광주통합특별시,개인,2007-04-02,109,26101000,7,0
2026-07,주식회사이엔티파워/일용/영흥 1 2호기 환경설비 잔여사업 설치조건부 구매,배관 및 냉ㆍ난방 공사업,인천광역시,법인,2025-06-05,68,31639100,2,29
2026-07,(주)성진테크,그 외 자동차용 신품 부품 제조업,경상남도,법인,2000-11-01,36,15521460,0,0
2026-07,주식회사 케이디헬스케어,상품 종합 도매업,서울특별시,법인,2011-12-01,64,19365860,0,5
2026-07,(주)동부/일용/평택전자 P5 그린동 신축공사 중[P5]Ph1 Pipe Rack 설치공사,배관 및 냉ㆍ난방 공사업,경기도,법인,2023-12-11,57,35298780,12,2
2026-07,(주) 서현개발/일용/김포북변4재개발 철근콘크리트공사(3공구),철골 및 관련 구조물 공사업,경기도,법인,2024-12-26,38,16722180,5,2
2026-07,(주)다니엘솔루션,그 외 기타 전자 부품 제조업,충청남도,법인,2020-11-01,56,11518080,6,8
2026-07,(주)새론이엔아이,BIZ_NO미존재사업장,경상북도,법인,2011-02-14,36,14123540,0,1
2026-07,대종엔지니어링주식회사-(일용)전주 현대차 트럭공장 합리화공사 중 기계설비공사(2공구),배관 및 냉ㆍ난방 공사업,전북특별자치도,법인,2025-07-31,94,48186800,0,53
2026-07,주식회사이에이치오(맛찬들왕소금구이해운대),한식 일반 음식점업,부산광역시,법인,2016-02-18,38,7503320,6,6
2026-07,헬로라이브 주식회사(hellolive Inc.),경영 컨설팅업,서울특별시,법인,2018-04-01,37,10909120,4,4
2026-07,스와로브스키코리아(주),상품 종합 도매업,서울특별시,법인,2000-07-03,277,93900280,10,7
2026-07,세한대학교,건축 설계 및 관련 서비스업,전남광주통합특별시,법인,1996-09-01,54,11159100,1,6
2026-07,조앤조병원,요양병원,서울특별시,개인,2007-03-22,57,18645540,4,1
2026-07,（주）대공/일용/S-OIL SHAHEEN Project 중 Intercon. 배관공사(PKG-2),콘크리트 및 철근 공사업,울산광역시,법인,2024-10-18,123,66353640,18,0
2026-07,주식회사에스엔바이오사이언스,기타 인문 및 사회과학 연구개발업,경기도,법인,2017-05-16,30,15626880,0,0
2026-07,덕흥정밀(주),합성섬유 제조업,경기도,법인,1997-10-27,33,9253720,0,0
2026-07,유한회사 에브라임이노베이션,부동산 중개 및 대리업,서울특별시,법인,2011-05-01,62,14227720,5,16
2026-07,주식회사 카멜인터내셔널,운동 및 경기용품 도매업,서울특별시,법인,2014-06-01,33,10397500,1,1
2026-07,(주)아워홈,기관 구내식당업,서울특별시,법인,2000-03-01,6999,2448126820,221,211
2026-07,（주）수공단개발,부동산 중개 및 대리업,경상북도,법인,2018-03-20,31,7363200,8,7
2026-07,(주)크레템,운송장비용 조명장치 제조업,경기도,법인,2004-04-10,31,11723000,0,0
2026-07,(주)안다미로,응용 소프트웨어 개발 및 공급업,경기도,법인,1992-04-16,63,24416740,1,1
2026-07,치휴한방병원,한방병원,서울특별시,개인,2020-09-21,37,11944260,5,4
2026-07,(주)호반호텔앤리조트-제천지점,호텔업,충청북도,법인,2011-01-19,154,55066820,2,11
2026-07,（주）삼아에코빌/일용/분당느티마을 4단지 리모델링사업 건축설비/소방설비공사(2공구),배관 및 냉ㆍ난방 공사업,경기도,법인,2024-07-29,34,16241500,8,1
2026-07,신세계한방병원,한의원,부산광역시,개인,2020-12-15,31,9078240,4,4
2026-07,대하산업개발（주）/일용/광주 중앙공원(1지구) 공동주택 개발사업(1BL) 중 기계설비공사,건물용 기계ㆍ장비 설치 공사업,전남광주통합특별시,법인,2025-01-14,36,14516320,11,0
2026-07,(주)GFC Korea,BIZ_NO미존재사업장,부산광역시,법인,2010-05-01,30,13269480,0,7
2026-07,(주)건화정공,BIZ_NO미존재사업장,경상북도,법인,2011-11-01,33,12398680,0,1
2026-07,(주)제일테크노스/일용/용인 Cluster 1기 구축공사 중 Deck plate공사_1공구,금속 문  창  셔터 및 관련제품 제조업,경기도,법인,2025-03-11,34,14737220,3,0
2026-07,인천24시스카이동물의료센터,수의업,인천광역시,개인,2014-07-01,40,12468280,4,5
2026-07,(주)청운산업,그 외 기타 분류 안된 사업 지원 서비스업,경상남도,법인,2018-11-27,53,18387020,0,1
2026-07,비경통상(주),구두류 제조업,서울특별시,법인,1999-01-01,65,21649040,1,0
2026-07,티에이치파트너스 주식회사,경영 컨설팅업,서울특별시,법인,2024-06-01,250,54062500,34,26
2026-07,엔에이치케미칼(주),그 외 기타 플라스틱 제품 제조업,울산광역시,법인,2011-04-10,80,32711560,0,1
2026-07,에스디플렉스(주),기타 반도체 소자 제조업,경상북도,법인,2004-11-01,42,21502480,0,1
2026-07,(주)독립운송,택시 운송업,충청남도,법인,1988-01-01,32,7432980,2,0
2026-07,의료법인갑을의료재단갑을녹산병원,BIZ_NO미존재사업장,부산광역시,법인,2012-03-23,172,52639200,14,6
2026-07,(주)비엔세라,의약품 도매업,인천광역시,법인,2022-01-01,59,23343520,4,1
2026-07,(주)퍼플랩스헬스케어,전자상거래 소매업,서울특별시,법인,2018-07-23,35,11453880,4,3
2026-07,경남중앙신용협동조합,비주거용 건물 임대업(점포  자기땅),경상남도,법인,1988-01-01,31,14686300,2,0
2026-07,산림조합중앙회,임업용 종묘 생산업,서울특별시,법인,1988-01-01,109,65455500,0,0
2026-07,세안이엔씨주식회사/일용/삼성서울병원 리모델링공사 2차(본관 외래 서측부)전기공사,일반 전기 공사업,서울특별시,법인,2023-11-01,36,20936780,14,0
2026-07,(주)강구토건,미장  타일 및 방수 공사업,서울특별시,법인,1998-02-01,44,20978580,0,0
2026-07,코튼클럽(주)전주공장,연사 및 가공사 제조업 / 특수직물 및 기타 직물 직조,전북특별자치도,법인,2000-11-01,37,10540740,1,0
2026-07,경상북도안동의료원,요양병원,경상북도,법인,1988-01-01,311,126951480,1,3
2026-07,과천시청,실내 경기장 운영업,경기도,법인,1992-01-01,160,66959820,1,2
2026-07,휘닉스평창 주식회사,그 외 기타 분류 안된 사업 지원 서비스업,강원특별자치도,법인,2017-03-22,237,78726980,35,8
2026-07,(주)포인트모바일,산업용 로봇 제조업,서울특별시,법인,2006-08-01,163,70655780,4,3
2026-07,한국종합환경산업(주),그 외 기타 분류 안된 사업 지원 서비스업,부산광역시,법인,1988-12-01,47,12719180,0,1
2026-07,의료법인은혜와감사의료재단(향남스마트병원),요양병원,경기도,법인,2018-02-05,55,17329960,3,2
2026-07,(주)동원홈푸드,천연 및 혼합 조제 조미료 제조업,서울특별시,법인,1997-06-01,1008,442721040,22,17
2026-07,주식회사애니플러스,게임용구  인형 및 장난감 소매업,서울특별시,법인,2020-01-22,78,31754620,21,2
2026-07,엠피에스인터내셔날코리아 유한회사,경영 컨설팅업,경기도,법인,2004-10-01,41,23885360,4,0
2026-07,동아제약(주),해당없음,서울특별시,법인,2013-03-01,1041,557199500,13,11
2026-07,(주)성우모터스,그 외 자동차용 신품 부품 제조업,충청북도,법인,2003-07-03,55,19775860,0,2
2026-07,주식회사갓텐코리아,경영 컨설팅업(경영지도사),경기도,법인,2011-01-03,43,21889540,0,0
2026-07,(주)정우아이앤씨,배관 및 냉ㆍ난방 공사업,경상북도,법인,2008-08-01,109,37680400,12,13
2026-07,주식회사지씨엠제주,골프장 운영업,제주특별자치도,법인,2020-09-01,51,20887380,1,0
2026-07,레이트론(주),기타 반도체 소자 제조업,대전광역시,법인,2002-03-01,89,29790980,1,0
2026-07,주식회사한덕(HANDEOKCo. Ltd.),BIZ_NO미존재사업장,경상북도,법인,2010-01-14,73,23488700,3,2
2026-07,사회복지법인여수애양병원,요양병원,전남광주통합특별시,법인,1988-01-01,119,47278840,0,1
2026-07,미래메탈테크(주),금속 단조제품 제조업,대구광역시,법인,1999-04-01,33,14051960,1,1
2026-07,수협중앙회,기타 금융 투자업,서울특별시,법인,1988-01-01,1400,780999060,10,7
2026-07,(주)일진글로벌홀딩스,경영 컨설팅업,서울특별시,법인,1990-08-09,82,46513740,0,0
2026-07,주식회사 내일건축/일용/양주 복지지구 80BL 모아엘가 공동주택 신축공사 중 내장목공사,도배  실내 장식 및 내장 목공사업,경기도,법인,2025-09-09,35,14351320,20,0
2026-07,강릉아산병원,요양병원,강원특별자치도,법인,1996-06-01,1750,864469380,23,26
2026-07,선풍토건(주)/일용/남양주시 화도읍 금남리 물류센터 개발사업 중 토목공사,기타 토목 시설물 건설업,경기도,법인,2025-01-24,32,13479700,10,0
2026-07,파랑새노인건강센타,BIZ_NO미존재사업장,부산광역시,법인,2003-05-01,49,13000140,0,0
2026-07,한국공항보안주식회사,경비 및 경호 서비스업,서울특별시,법인,2019-12-03,2375,793638120,31,28
2026-07,코리아쉽매니져스(주),BIZ_NO미존재사업장,부산광역시,법인,1996-01-03,96,54650540,11,11
2026-07,통영농업협동조합,국내은행,경상남도,법인,1988-01-01,80,36156520,0,0
2026-07,(주)지넷시스템,유선 통신장비 제조업,서울특별시,법인,1998-02-10,53,15847320,1,1
2026-07,세무법인이담,세무사업,서울특별시,법인,2022-09-01,31,9856100,4,4
2026-07,필립요양병원,요양병원,경기도,개인,2017-09-18,57,15700940,3,1
2026-07,엘아이지디펜스앤에어로스페이스 (주),기타 반도체 소자 제조업,경기도,법인,2004-07-01,3572,2153076040,11,16
2026-07,제니스마취통증의학과의원,일반의원,대구광역시,개인,2024-01-16,36,12583860,2,1
2026-07,(주)화이트리에,경영 컨설팅업,경기도,법인,2019-09-27,46,10346140,7,6
2026-07,에이치알건설주식회사/일용/(가칭)한여울학교 교사 신축공사 중 철근콘크리트공사,유리 및 창호 공사업,충청남도,법인,2025-11-07,39,13889160,3,0
2026-07,주식회사돌캐,임시 및 일용 인력 공급업,인천광역시,법인,2018-04-09,30,6847800,4,3
2026-07,(주)대한에프앤비,가금류 가공 및 저장 처리업,제주특별자치도,법인,2010-06-01,53,16641520,2,1
2026-07,포천농업협동조합,수산물 가공식품 도매업,경기도,법인,1988-01-01,119,56985400,0,1
2026-07,(주)창영테크팩,스크린 인쇄업,경기도,법인,2005-03-01,48,16898740,6,5
2026-07,동도테크(주),선철 주물 주조업,경상남도,법인,2009-10-01,49,19621260,1,0
2026-07,(주）화응건설/일용/인천부평 행복주택 및 도시재생뉴딜 혁신센터 건설공사,콘크리트 및 철근 공사업,인천광역시,법인,2025-04-01,39,12686400,9,2
2026-07,(주)에스피엔이,BIZ_NO미존재사업장,서울특별시,법인,2010-01-01,68,20544900,2,7
2026-07,주식회사거명테크-(일용)26년 2차 M16 DRAM 투자장비 배관 Hook-up공사_CLN,배관 및 냉ㆍ난방 공사업,경기도,법인,2025-07-01,44,16043900,1,0
2026-07,주식회사디에스이트레이드,응용 소프트웨어 개발 및 공급업,서울특별시,법인,2000-11-01,53,23456880,1,2
2026-07,(주)더블유서울,기타 음ㆍ식료품 위주 종합 소매업,서울특별시,법인,2013-04-01,46,14316780,3,0
2026-07,인천광역시 미추홀구시설관리공단,BIZ_NO미존재사업장,인천광역시,법인,2001-01-02,185,65594500,1,0
2026-07,(주)삼보,금속 가구 제조업,경기도,법인,1994-06-01,31,10333080,0,0
2026-07,한국엔엠비(주),상품 종합 도매업,경기도,법인,1988-01-01,57,26446700,0,0
2026-07,얼라인테크놀로지코리아 유한회사,의료 기기 도매업,서울특별시,법인,2016-04-01,90,48022520,0,1
2026-07,사단법인경기장애인자립생활센터협의회안산시지부,BIZ_NO미존재사업장,경기도,법인,2020-04-01,138,20646920,1,5
2026-07,주식회사중원컴퍼니-에드워드코리아,고용 알선업,전남광주통합특별시,법인,2012-12-01,32,7484400,4,4
2026-07,여수시노인복지관(노인맞춤돌봄서비스),BIZ_NO미존재사업장,전남광주통합특별시,법인,2007-08-01,91,12841580,0,2
2026-07,곰소할인마트(전화련),조미료 도매업,전북특별자치도,개인,2012-11-01,31,8990140,7,7
2026-07,(주)코리아써키트,기타 반도체 소자 제조업,경기도,법인,1988-01-01,1323,554831380,55,30
2026-07,주식회사에어코리아,기타 항공 운송지원 서비스업,인천광역시,법인,2008-05-16,1360,418857660,2,21
2026-07,신안종합레져(주),골프장 운영업,경기도,법인,2007-08-01,67,22746040,9,7
2026-07,루소의숲어린이집,BIZ_NO미존재사업장,경기도,개인,2010-10-14,30,5745100,0,1
2026-07,우일계전공업（주）/일용/청주 P&T7 신축 Project 중 가설전기공사(저압-1),배관 및 냉ㆍ난방 공사업,충청북도,법인,2026-05-20,54,26326140,31,0
2026-07,주식회사멜리언스,전자상거래 소매업,서울특별시,법인,2023-01-01,31,11842120,0,6
2026-07,(주)스윗밸런스랩,그 외 기타 식료품 제조업,경기도,법인,2017-11-01,147,40919560,9,2
2026-07,주식회사휴엔로지스,임시 및 일용 인력 공급업,경기도,법인,2019-03-01,111,33736520,3,9
2026-07,(주)관우개발,건축물 일반 청소업,서울특별시,법인,1995-06-30,33,9775640,0,2
2026-07,다이토키스코주식회사 익산공장,접착제 및 젤라틴 제조업,전북특별자치도,법인,2020-01-01,71,30182500,2,2
2026-07,(주)오션엔지니어링,철물  금속 파스너 및 수공구 도매업,충청북도,법인,2004-05-01,51,21650480,0,3
2026-07,명진단영상의학과,방사선 진단 및 병리 검사 의원,서울특별시,개인,1996-06-01,31,10597400,1,1
2026-07,의료법인 신세광의료재단,요양병원,울산광역시,법인,2011-05-11,59,19542960,3,6
2026-07,롯데하이마트(주),가전제품 소매업,서울특별시,법인,1988-01-01,3460,1521472000,20,47
2026-07,유한회사 솔물류,항공 및 육상 화물 취급업,전남광주통합특별시,법인,2025-01-01,36,13629800,0,2
2026-07,한국제지(주) 서울,인쇄용 및 필기용 원지 제조업,서울특별시,법인,2025-07-01,136,72973620,0,1
2026-07,연세대학교의료원산학협력단,기타 인문 및 사회과학 연구개발업,서울특별시,법인,2012-12-31,1256,352064260,59,41
2026-07,바이텍(주),운송장비용 조명장치 제조업,인천광역시,법인,1999-04-15,39,11568140,9,0
2026-07,주식회사에스엘주택관리,경비 및 경호 서비스업,인천광역시,법인,2012-08-06,30,8001260,0,0
2026-07,서울정의여자고등학교,해당없음,서울특별시,법인,1997-01-01,35,11579260,0,0
2026-07,피엠씨프러덕션(주),연극단체,제주특별자치도,법인,1997-06-01,120,27362760,9,2
2026-07,주식회사 아로펫,애완용 동물 및 관련용품 소매업,충청북도,법인,2011-06-01,49,17786380,3,4
2026-07,서강고등학교,해당없음,전남광주통합특별시,법인,2002-03-01,40,16807340,0,0
2026-07,의료법인 명지의료재단 명지병원,요양병원,경기도,법인,1988-01-01,1239,484394800,27,39
2026-07,(주)인투인웍스,도배  실내 장식 및 내장 목공사업,서울특별시,법인,2017-12-08,44,4987060,2,5
2026-07,세안이엔씨주식회사/일용/평택 P5 신축공사 중 [P5 FAB] 가설전기 접지공사 1공구,일반 전기 공사업,경기도,법인,2023-12-18,192,86328740,33,2
2026-07,(주)이프,BIZ_NO미존재사업장,경상북도,법인,2011-11-01,44,16362040,0,0
2026-07,주식회사 디비컴퍼니,그 외 기타 분류 안된 사업 지원 서비스업,부산광역시,법인,2026-01-01,44,9348000,4,5
2026-07,허브넷굿컴퍼니닷컴 주식회사,광고 대행업,서울특별시,법인,2010-10-07,31,9603760,0,0
2026-07,(주)트로이스세이프티,그 외 기타 건축 마무리 공사업,경기도,법인,2019-03-01,85,17813620,3,10
2026-07,(주)한빛케이에스이,배전반 및 전기 자동제어반 제조업,울산광역시,법인,2005-11-26,43,16668740,0,0
2026-07,(주)월드테크,도장 및 기타 피막 처리업,경상남도,법인,2003-02-06,34,14339240,2,1
2026-07,재단법인밀양문화관광재단,BIZ_NO미존재사업장,경상남도,법인,2016-02-16,47,18097260,0,0
2026-07,김정문알로에(주),건강 보조용 액화식품 제조업,서울특별시,법인,1988-01-01,71,24181260,1,6
2026-07,중앙식자재마트,기타 음ㆍ식료품 위주 종합 소매업,서울특별시,개인,2014-03-01,33,9820680,0,5
2026-07,(주)유시스,응용 소프트웨어 개발 및 공급업,부산광역시,법인,2006-03-01,32,9959100,1,0
2026-07,(주)용마루건설/일용/평택브레인시티공동주택신축공사중건축 기계 토목 조경공사중철근콘크리트공사,콘크리트 및 철근 공사업,경기도,법인,2026-03-10,40,16137940,21,0
2026-07,씨마크서비스 주식회사,고용 알선업,강원특별자치도,법인,2023-03-01,142,51797780,17,2
2026-07,의료법인윤영의료재단,해당없음,강원특별자치도,법인,2013-04-29,46,13674380,0,2
2026-07,전북대학교 교무과(교육행정인턴),비주거용 건물 임대업(점포  자기땅),전북특별자치도,법인,2015-03-13,32,6388700,1,6
2026-07,공군교육사령부(공병대대),비주거용 건물 임대업(점포  자기땅),경상남도,법인,2018-01-01,83,21683380,6,0
2026-07,동방실리콘(주),그 외 기타 고무제품 제조업,인천광역시,법인,1999-10-01,64,21253320,1,0
2026-07,케이지이종합건설(주),아파트 건설업,부산광역시,법인,2007-02-01,32,14207420,3,4
2026-07,(주)지엠피쥬얼리,BIZ_NO미존재사업장,경기도,법인,2013-10-16,42,10153020,0,0
2026-07,(주)대성기연,산업용 냉장 및 냉동장비 제조업,경기도,법인,1999-07-01,51,17664760,4,9
2026-07,대원씨아이(주),일반 서적 출판업,서울특별시,법인,2006-12-13,137,53220740,2,0
2026-07,동양생명보험(주),생명보험업,서울특별시,법인,2009-04-22,51,31928040,0,2
2026-07,에스케이가스(주),연료용 가스 제조 및 배관공급업,경기도,법인,1988-01-01,616,358490460,8,8
2026-07,한국도로교통공단 교통방송울산본부,옥외 및 전시 광고업,울산광역시,법인,2012-02-13,34,14606940,1,0
2026-07,주식회사유창이앤씨/(일용)LGD 파주 P10 확장투자 CR&UT공사 C/R판넬공사-2,구조용 금속 판제품 및 공작물 제조업,경기도,법인,2025-08-20,116,45600800,31,0
2026-07,오성기전(주),배전반 및 전기 자동제어반 제조업,경기도,법인,1991-03-08,30,11068120,0,0
2026-07,(사)부산항만산업협회-화물고정업,건축물 일반 청소업,부산광역시,법인,2013-09-01,1107,691533000,0,2
