자료생성년월,사업장명,업종,시도,사업장형태,적용일자,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,(주)모아주택산업,아파트 건설업,전남광주통합특별시,법인,1988-10-01,138,68982960,0,10
2026-07,아이텍(주),기타 기술 시험  검사 및 분석업,경기도,법인,2005-02-01,261,91175880,10,6
2026-07,콘텐츠웨이브(주),영화  비디오물 및 방송 프로그램 배급업,서울특별시,법인,2012-06-14,134,72067860,1,0
2026-07,주식회사디에스티,BIZ_NO미존재사업장,대구광역시,법인,2015-06-11,36,10663760,1,2
2026-07,인터프로셀(주),고용 알선업,서울특별시,법인,1994-04-19,504,116839760,35,35
2026-07,(주)부건건설/일용/대구대명 LH 참여형 가로주택정비사업 중 철근콘크리트공사,조적 및 석공사업,대구광역시,법인,2026-02-19,56,19207500,16,0
2026-07,재단법인한국승강기안전진흥원,물질 성분 검사 및 분석업,경기도,법인,2019-11-15,52,14697800,0,0
2026-07,마루요양병원,요양병원,전남광주통합특별시,개인,2003-10-23,34,9482440,0,1
2026-07,미래복지요양센터,BIZ_NO미존재사업장,인천광역시,법인,2016-08-16,84,20324180,9,2
2026-07,데이터브릭스코리아유한책임회사,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,서울특별시,법인,2022-04-25,114,70635200,3,0
2026-07,코오롱오토모티브주식회사,자동차 신품 판매업,서울특별시,법인,2016-05-01,217,96369020,3,3
2026-07,（주)성지공영/일용/S-OIL SHAHEEN Project중Intercom 보온공사(PKG,배관 및 냉ㆍ난방 공사업,울산광역시,법인,2024-11-01,47,24467180,10,1
2026-07,옴니시스템(주),배전반 및 전기 자동제어반 제조업,경기도,법인,1997-02-17,68,24553480,1,0
2026-07,에스트라오토모티브시스템주식회사,그 외 자동차용 신품 부품 제조업,대구광역시,법인,1988-01-01,421,236047320,7,5
2026-07,삼언전공(주)/일용/성남산성구역주택재개발정비사업 아파트신축공사 전기설비공사(4공구),일반 전기 공사업,경기도,법인,2024-10-16,33,15419920,6,0
2026-07,주식회사정원투어,전세버스 운송업,경기도,법인,2013-11-01,43,13438740,1,1
2026-07,평화재활원,BIZ_NO미존재사업장,경기도,법인,2009-03-13,44,18899300,1,0
2026-07,사）경기장애인자립생활센터협의회이천시지부이삭IL센터-제공인력,BIZ_NO미존재사업장,경기도,법인,2023-06-01,53,9613240,1,0
2026-07,주식회사 경신 경주공장,그 외 자동차용 신품 부품 제조업,경상북도,법인,1989-05-01,281,158886260,1,2
2026-07,주식회사인투씨엔에스,응용 소프트웨어 개발 및 공급업,경기도,법인,2008-02-01,58,19866840,3,2
2026-07,케이지손해사정서비스주식회사,손해 사정업,서울특별시,법인,2019-03-04,104,46986840,3,7
2026-07,현대위아(주),그 외 자동차용 신품 부품 제조업,경상남도,법인,1988-01-01,2763,1723031960,6,9
2026-07,충청남도장애인체육회,BIZ_NO미존재사업장,충청남도,법인,2007-12-03,61,18107560,1,2
2026-07,(재)광주기독병원,요양병원,전남광주통합특별시,법인,1988-01-01,1038,446944640,20,15
